model,cv_mae,cv_rmse,cv_r2,test_mae,test_rmse,test_r2
random_forest_regressor_tuned,15.341819808475107,20.60638831328041,0.4826487855937817,15.424073250882664,22.9683051262326,0.5789944352170344
random_forest_regressor,17.444862338817643,24.05898986434251,0.3046347669431138,16.78586911680195,26.228429985556897,0.45099723974630124
xgboost_regressor_tuned,15.652582700781688,21.437385314277456,0.439670497784207,17.489875478287267,26.284986152029305,0.44862706605215086
extra_trees_regressor,16.551984528999178,23.328411704555368,0.33463821596982557,17.79460844339496,26.390414859271004,0.44419509749984365
xgboost_regressor,17.011810065974142,23.043274551427942,0.35482284252931695,17.948676290577406,26.99099805049589,0.4186096406431694
gradient_boosting_regressor,16.16078703500511,21.779593808550416,0.42358858719459874,18.074237393577103,27.67934996851429,0.3885770840777203
linear_regression,29.919793640543745,37.5164189993042,-0.8017115024455508,28.92776700547981,36.38572576651286,-0.05655478763121913
