match_id,season,phase,match_no,date,venue,batting_team,bowling_team,innings,over,striker,bowler,runs_of_bat,extras,wide,legbyes,byes,noballs,wicket_type,player_dismissed,fielder,tournament_year,source_file,over_no,ball_no,ball_runs,wicket_event,legal_delivery,current_score,current_wickets,balls_bowled,balls_remaining,wickets_remaining,current_run_rate,run_rate,last_30_runs,winner,target,first_innings_total,second_innings_total,runs_required,required_run_rate,pressure_index,projected_score,win_probability
1,2016,Powerplay,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,2.5,V Sibanda,Tanwir Afzal,1,0,0,0,0.0,0,,,,2016,t20_wc_2016_deliveries.csv,2,5,1,0,1,25,1,17,103,9,8.823529411764707,8.823529411764707,25.0,ZIM,159.0,158.0,144.0,,,-0.4735294117647065,156.15570068359375,
1,2016,Powerplay,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,2.6,R Mutumbami,Tanwir Afzal,0,0,0,0,0.0,0,,,,2016,t20_wc_2016_deliveries.csv,2,6,0,0,1,25,1,18,102,9,8.333333333333334,8.333333333333334,25.0,ZIM,159.0,158.0,144.0,,,0.016666666666666,156.43014526367188,
1,2016,Powerplay,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,3.1,V Sibanda,Haseeb Amjad,4,0,0,0,0.0,0,,,,2016,t20_wc_2016_deliveries.csv,3,1,4,0,1,29,1,19,101,9,9.157894736842104,9.157894736842104,29.0,ZIM,159.0,158.0,144.0,,,-0.8078947368421044,156.0883026123047,
1,2016,Powerplay,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,3.2,V Sibanda,Haseeb Amjad,4,0,0,0,0.0,0,,,,2016,t20_wc_2016_deliveries.csv,3,2,4,0,1,33,1,20,100,9,9.9,9.9,33.0,ZIM,159.0,158.0,144.0,,,-1.5500000000000005,156.1966552734375,
1,2016,Powerplay,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,3.3,V Sibanda,Haseeb Amjad,0,1,0,0,0.0,1,,,,2016,t20_wc_2016_deliveries.csv,3,3,1,0,0,34,1,20,100,9,10.2,10.2,34.0,ZIM,159.0,158.0,144.0,,,-1.8499999999999992,156.54598999023438,
1,2016,Powerplay,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,3.3,V Sibanda,Haseeb Amjad,0,0,0,0,0.0,0,,,,2016,t20_wc_2016_deliveries.csv,3,3,0,0,1,34,1,21,99,9,9.714285714285714,9.714285714285714,34.0,ZIM,159.0,158.0,144.0,,,-1.3642857142857134,156.54598999023438,
1,2016,Powerplay,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,3.4,V Sibanda,Haseeb Amjad,4,0,0,0,0.0,0,,,,2016,t20_wc_2016_deliveries.csv,3,4,4,0,1,38,1,22,98,9,10.363636363636363,10.363636363636363,38.0,ZIM,159.0,158.0,144.0,,,-2.0136363636363632,157.52354431152344,
1,2016,Powerplay,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,3.5,V Sibanda,Haseeb Amjad,0,0,0,0,0.0,0,,,,2016,t20_wc_2016_deliveries.csv,3,5,0,0,1,38,1,23,97,9,9.91304347826087,9.91304347826087,38.0,ZIM,159.0,158.0,144.0,,,-1.563043478260869,157.52354431152344,
1,2016,Powerplay,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,3.6,V Sibanda,Haseeb Amjad,0,0,0,0,0.0,0,,,,2016,t20_wc_2016_deliveries.csv,3,6,0,0,1,38,1,24,96,9,9.5,9.5,38.0,ZIM,159.0,158.0,144.0,,,-1.15,157.07406616210938,
1,2016,Powerplay,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,4.1,R Mutumbami,Tanwir Afzal,0,0,0,0,0.0,0,,,,2016,t20_wc_2016_deliveries.csv,4,1,0,0,1,38,1,25,95,9,9.12,9.12,38.0,ZIM,159.0,158.0,144.0,,,-0.7699999999999992,157.07406616210938,
