model,cv_mae,cv_rmse,cv_r2,test_mae,test_rmse,test_r2
linear_regression,17.52687577504089,23.527462374437622,0.487216617232618,16.166868877446472,21.627080828110525,0.5037936835775182
xgboost_regressor,17.662824888047293,24.066188946038764,0.46340890397143714,16.377827827234096,22.071588655396127,0.48318671502370913
