match_id,season,match_no,innings,over,runs_of_bat,extras,wide,noballs,legbyes,byes,phase,date,venue,batting_team,bowling_team,striker,bowler,wicket_type,player_dismissed,fielder,over_no,ball_no,ball_runs,wicket_event,legal_delivery,current_score,current_wickets,balls_bowled,balls_remaining,wickets_remaining,current_run_rate,run_rate,last_30_runs,winner,target,first_innings_total,second_innings_total,runs_required,required_run_rate,pressure_index,projected_score,win_probability
335982,2007,1,1,2.1,0,0,0,0,0,0,Powerplay,2008-04-18,M Chinnaswamy Stadium,KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE,SC Ganguly,P Kumar,,,,2,1,0,0,1,21,0,13,107,10,9.692307692307692,9.692307692307692,21.0,KOLKATA KNIGHT RIDERS,223.0,222.0,82.0,,,-1.6923076923076916,180.8371260071754,
335982,2007,1,1,2.2,0,0,0,0,0,0,Powerplay,2008-04-18,M Chinnaswamy Stadium,KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE,SC Ganguly,P Kumar,,,,2,2,0,0,1,21,0,14,106,10,9.0,9.0,21.0,KOLKATA KNIGHT RIDERS,223.0,222.0,82.0,,,-1.0,178.75008998395265,
335982,2007,1,1,2.3,0,1,0,0,1,0,Powerplay,2008-04-18,M Chinnaswamy Stadium,KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE,SC Ganguly,P Kumar,,,,2,3,1,0,1,22,0,15,105,10,8.8,8.8,22.0,KOLKATA KNIGHT RIDERS,223.0,222.0,82.0,,,-0.8000000000000007,178.2646884964443,
335982,2007,1,1,2.4,4,0,0,0,0,0,Powerplay,2008-04-18,M Chinnaswamy Stadium,KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE,BB McCullum,P Kumar,,,,2,4,4,0,1,26,0,16,104,10,9.75,9.75,26.0,KOLKATA KNIGHT RIDERS,223.0,222.0,82.0,,,-1.75,182.02799347301251,
335982,2007,1,1,2.5,1,0,0,0,0,0,Powerplay,2008-04-18,M Chinnaswamy Stadium,KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE,BB McCullum,P Kumar,,,,2,5,1,0,1,27,0,17,103,10,9.529411764705882,9.529411764705882,27.0,KOLKATA KNIGHT RIDERS,223.0,222.0,82.0,,,-1.5294117647058822,181.5075650373941,
335982,2007,1,1,2.6,0,0,0,0,0,0,Powerplay,2008-04-18,M Chinnaswamy Stadium,KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE,SC Ganguly,P Kumar,,,,2,6,0,0,1,27,0,18,102,10,9.0,9.0,27.0,KOLKATA KNIGHT RIDERS,223.0,222.0,82.0,,,-1.0,179.69766530691055,
335982,2007,1,1,3.1,0,5,5,0,0,0,Powerplay,2008-04-18,M Chinnaswamy Stadium,KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE,BB McCullum,AA Noffke,,,,3,1,5,0,0,32,0,18,102,10,10.666666666666666,10.666666666666666,32.0,KOLKATA KNIGHT RIDERS,223.0,222.0,82.0,,,-2.666666666666666,186.35351551998684,
335982,2007,1,1,3.1,6,0,0,0,0,0,Powerplay,2008-04-18,M Chinnaswamy Stadium,KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE,BB McCullum,AA Noffke,,,,3,1,6,0,1,38,0,19,101,10,12.0,12.0,38.0,KOLKATA KNIGHT RIDERS,223.0,222.0,82.0,,,-4.0,192.2971230577942,
335982,2007,1,1,3.2,0,1,0,0,1,0,Powerplay,2008-04-18,M Chinnaswamy Stadium,KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE,BB McCullum,AA Noffke,,,,3,2,1,0,1,39,0,20,100,10,11.7,11.7,39.0,KOLKATA KNIGHT RIDERS,223.0,222.0,82.0,,,-3.6999999999999993,191.64159067946542,
335982,2007,1,1,3.3,4,0,0,0,0,0,Powerplay,2008-04-18,M Chinnaswamy Stadium,KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE,SC Ganguly,AA Noffke,,,,3,3,4,0,1,43,0,21,99,10,12.285714285714286,12.285714285714286,43.0,KOLKATA KNIGHT RIDERS,223.0,222.0,82.0,,,-4.285714285714287,194.7851331251876,
335982,2007,1,1,3.4,0,0,0,0,0,0,Powerplay,2008-04-18,M Chinnaswamy Stadium,KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE,SC Ganguly,AA Noffke,,,,3,4,0,0,1,43,0,22,98,10,11.727272727272728,11.727272727272728,43.0,KOLKATA KNIGHT RIDERS,223.0,222.0,82.0,,,-3.727272727272727,192.92584474801816,
335982,2007,1,1,3.5,1,0,0,0,0,0,Powerplay,2008-04-18,M Chinnaswamy Stadium,KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE,SC Ganguly,AA Noffke,,,,3,5,1,0,1,44,0,23,97,10,11.478260869565217,11.478260869565217,44.0,KOLKATA KNIGHT RIDERS,223.0,222.0,82.0,,,-3.478260869565217,192.3570589503844,
335982,2007,1,1,3.6,6,0,0,0,0,0,Powerplay,2008-04-18,M Chinnaswamy Stadium,KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE,BB McCullum,AA Noffke,,,,3,6,6,0,1,50,0,24,96,10,12.5,12.5,50.0,KOLKATA KNIGHT RIDERS,223.0,222.0,82.0,,,-4.5,197.7705484950555,
335982,2007,1,1,4.1,4,0,0,0,0,0,Powerplay,2008-04-18,M Chinnaswamy Stadium,KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE,SC Ganguly,P Kumar,,,,4,1,4,0,1,54,0,25,95,10,12.96,12.96,54.0,KOLKATA KNIGHT RIDERS,223.0,222.0,82.0,,,-4.960000000000001,200.70021210660335,
335982,2007,1,1,4.2,1,0,0,0,0,0,Powerplay,2008-04-18,M Chinnaswamy Stadium,KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE,SC Ganguly,P Kumar,,,,4,2,1,0,1,55,0,26,94,10,12.692307692307692,12.692307692307692,55.0,KOLKATA KNIGHT RIDERS,223.0,222.0,82.0,,,-4.692307692307692,200.09964509300116,
335982,2007,1,1,4.3,4,0,0,0,0,0,Powerplay,2008-04-18,M Chinnaswamy Stadium,KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE,BB McCullum,P Kumar,,,,4,3,4,0,1,59,0,27,93,10,13.11111111111111,13.11111111111111,59.0,KOLKATA KNIGHT RIDERS,223.0,222.0,82.0,,,-5.0,202.67220908999994,
335982,2007,1,1,4.4,0,0,0,0,0,0,Powerplay,2008-04-18,M Chinnaswamy Stadium,KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE,BB McCullum,P Kumar,,,,4,4,0,0,1,59,0,28,92,10,12.642857142857142,12.642857142857142,59.0,KOLKATA KNIGHT RIDERS,223.0,222.0,82.0,,,-4.642857142857142,201.25336916739795,
335982,2007,1,1,4.5,1,0,0,0,0,0,Powerplay,2008-04-18,M Chinnaswamy Stadium,KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE,BB McCullum,P Kumar,,,,4,5,1,0,1,60,0,29,91,10,12.413793103448276,12.413793103448276,59.0,KOLKATA KNIGHT RIDERS,223.0,222.0,82.0,,,-4.413793103448276,200.78987588033158,
335982,2007,1,1,4.6,0,0,0,0,0,0,Powerplay,2008-04-18,M Chinnaswamy Stadium,KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE,SC Ganguly,P Kumar,,,,4,6,0,0,1,60,0,30,90,10,12.0,12.0,59.0,KOLKATA KNIGHT RIDERS,223.0,222.0,82.0,,,-4.0,199.1766792082003,
335982,2007,1,1,5.1,1,0,0,0,0,0,Powerplay,2008-04-18,M Chinnaswamy Stadium,KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE,BB McCullum,Z Khan,,,,5,1,1,0,1,61,0,31,89,10,11.806451612903226,11.806451612903226,59.0,KOLKATA KNIGHT RIDERS,223.0,222.0,82.0,,,-3.806451612903226,198.77360901679322,
335982,2007,1,1,5.2,0,0,0,0,0,0,Powerplay,2008-04-18,M Chinnaswamy Stadium,KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE,SC Ganguly,Z Khan,caught,SC Ganguly,JH Kallis,5,2,0,1,1,61,1,32,88,9,11.4375,11.4375,59.0,KOLKATA KNIGHT RIDERS,223.0,222.0,82.0,,,-3.0875,192.08775419959437,
335982,2007,1,1,5.3,0,0,0,0,0,0,Powerplay,2008-04-18,M Chinnaswamy Stadium,KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE,RT Ponting,Z Khan,,,,5,3,0,0,1,61,1,33,87,9,11.090909090909092,11.090909090909092,59.0,KOLKATA KNIGHT RIDERS,223.0,222.0,82.0,,,-2.740909090909092,190.5888892193742,
